feature,importance
delta_mfcc_mean_9,0.000831931501112053
delta2_mfcc_mean_24,0.0008247254901209837
delta2_mfcc_mean_36,0.0008243001967161557
delta2_mfcc_mean_5,0.0008234911607822388
delta2_mfcc_mean_19,0.0008232959704502435
delta2_mfcc_mean_7,0.0008201624317727424
delta_mfcc_mean_22,0.0008187861165993623
delta2_mfcc_mean_9,0.0008185305892486733
delta2_mfcc_mean_20,0.0008177633219472675
delta2_mfcc_mean_8,0.0008154763013442059
delta2_mfcc_mean_25,0.000812086155125683
delta2_mfcc_std_12,0.0008118443982717767
delta_mfcc_mean_19,0.0008109081506176184
delta_mfcc_mean_34,0.0008051185360976511
delta2_mfcc_mean_12,0.0008019972559103058
delta2_mfcc_mean_15,0.0007979784103102151
delta2_mfcc_mean_29,0.0007960340043918311
delta2_mfcc_mean_6,0.0007927590745478589
delta_mfcc_mean_10,0.0007904697641902334
delta2_mfcc_mean_39,0.0007901575306540849
delta_mfcc_mean_26,0.0007895548844568639
delta_mfcc_mean_31,0.0007888973199211716
delta2_mfcc_mean_33,0.0007751839025369594
delta2_mfcc_mean_21,0.000772667891507327
delta2_mfcc_mean_11,0.000771864738924829
delta_mfcc_mean_30,0.0007717145336615675
delta2_mfcc_mean_31,0.0007691255705001565
delta2_mfcc_mean_14,0.0007667986207347187
delta_mfcc_mean_13,0.0007661637865866795
delta2_mfcc_mean_35,0.0007654764792739344
delta2_mfcc_mean_16,0.0007652920601332698
delta_mfcc_mean_29,0.0007588689703262576
delta2_mfcc_mean_18,0.0007568765608060554
delta2_mfcc_mean_34,0.0007565351246468513
delta2_mfcc_mean_13,0.0007562902525082303
delta_mfcc_mean_23,0.0007545610873208953
delta2_mfcc_mean_30,0.0007544821705073488
delta_mfcc_mean_14,0.0007520727657435514
delta_mfcc_mean_17,0.0007416673102856709
delta_mfcc_mean_27,0.0007393348378728963
delta_mfcc_mean_21,0.0007378420356062385
delta_mfcc_mean_28,0.0007342734753375959
delta_mfcc_mean_16,0.0007313795416582894
delta_mfcc_mean_35,0.0007286247332209658
delta2_mfcc_mean_23,0.0007284338171051078
delta_mfcc_mean_33,0.000726853404798139
delta_mfcc_mean_37,0.0007266872579804027
delta_mfcc_mean_15,0.0007265314293022858
tempo,0.0007235239493239265
delta_mfcc_mean_12,0.0007160562476426129
delta2_mfcc_mean_28,0.0007125513118501123
delta_mfcc_mean_39,0.0007118596184635563
delta2_mfcc_mean_27,0.0006980196810142938
delta_mfcc_mean_18,0.0006952456688113581
delta2_mfcc_mean_37,0.0006903331774516283
delta2_mfcc_mean_26,0.0006899606840729595
delta_mfcc_mean_38,0.0006595073534821398
delta2_mfcc_mean_22,0.000650937317437924
